Mood,Color,Sentiment
Confident,Red,Positive
Assertive,Red,Positive
Excited,Red,Positive
Frustrated,Red,Negative
Agitated,Red,Negative
Enthusiastic,Orange,Positive
Masking,Orange,Negative
Self-Loathing,Orange,Negative
Cheerful,Yellow,Positive
Optimistic,Yellow,Positive
Energetic,Yellow,Positive
Happy,Yellow,Negative
Impulsive,Yellow,Negative
Restless,Yellow,Negative
Nervous,Yellow,Negative
Determined,Green,Positive
Stubborn,Green,Negative
Envious,Green,Negative
Careless,Green,Negative
Overwhelmed,Teal,Negative
Indecisive,Teal,Negative
Peaceful,Blue,Positive
Trusting,Blue,Positive
Grounded,Blue,Positive
Calm,Blue,Positive
Introverted,Blue,Negative
Lethargic,Blue,Negative
Sad,Blue,Negative
Lonely,Blue,Negative
